org_id,org_name,org_type,street,city_name,state_code,zip_code,mission,web_url,phone,email,size,rating,source,cat_id,created_at,last_updated_at
1,plant,stay,child,Port Robertfort,Oregon,24566,Sport model sing here.,since,447.350.7816,cindyburgess@example.org,support,70,technology,1,wife,2021-12-17 18:05:49
2,decade,somebody,hope,Randolphshire,New York,86939,Cell PM phone item early.,end,001-878-639-6396x832,djohnson@example.net,let,2,picture,2,happy,2025-02-16 08:21:49
3,animal,clear,more,Wellsberg,Rhode Island,96688,Leave continue response.,floor,953.341.2121,morrislauren@example.org,number,100,affect,3,simple,2022-05-16 02:41:21
4,defense,subject,cultural,West Kevin,South Dakota,90237,Democratic front member include school.,lot,980-668-1454,omullins@example.com,whom,31,attack,4,available,2024-09-27 22:33:18
5,plan,some,coach,Meyerborough,Ohio,30135,Size scientist operation.,purpose,001-772-665-1160x3506,wardmichelle@example.net,hear,64,hope,5,able,2020-09-22 13:26:46
6,half,mother,result,Lake Angelashire,Minnesota,43530,Half final buy gas speak.,few,(647)650-0327x7992,barberkaitlyn@example.org,offer,72,sort,6,realize,2020-05-12 10:03:37
7,score,participant,box,East Anthonyborough,Delaware,80903,Few affect western where exactly edge.,piece,9843258928,johnsonchase@example.net,speak,43,green,7,budget,2022-11-01 19:57:48
8,opportunity,huge,foot,Shannonborough,Maryland,75324,Month anyone something man rise raise.,while,+1-968-653-1672x850,phuffman@example.com,half,30,operation,8,travel,2024-12-17 11:30:25
9,baby,site,card,Joneston,California,65846,Detail because according option generation win local.,or,001-871-982-5235x24277,ynewman@example.org,go,67,case,9,sort,2024-07-05 22:23:47
10,pattern,especially,save,West Steve,Georgia,50718,Plant fast they player dog.,seven,668-890-4468,meganross@example.com,charge,58,draw,10,condition,2022-05-12 23:41:00
11,now,fish,parent,East Tiffany,Tennessee,21847,Professional example contain lead room use.,already,001-621-445-0429x172,emily12@example.net,ground,82,be,11,series,2025-05-09 15:32:17
12,generation,wife,both,Lake Amanda,Illinois,04500,Report her raise difficult charge often throw.,our,001-761-996-3809x291,seandavis@example.com,brother,75,over,12,positive,2022-08-25 14:55:04
13,skill,society,machine,Aaronmouth,Missouri,94717,Stage pass capital career seat there.,cut,(419)924-9248x6123,david39@example.com,game,21,follow,13,fight,2024-05-09 12:41:59
14,rise,system,anyone,Kennethside,Mississippi,85102,Their body large serious push watch.,security,+1-424-554-7743,charles83@example.org,day,90,already,14,though,2024-05-30 14:52:24
15,imagine,property,either,Port Stevenbury,Montana,23130,Gas whole my strategy win remember now seat.,general,+1-999-558-3018x8670,brittanyrussell@example.com,site,32,traditional,15,provide,2024-04-26 04:56:08
16,despite,letter,part,Port Bradley,Oregon,30397,Society you wrong oil create unit hot.,politics,(461)661-4989x0856,johnlindsey@example.net,report,43,nature,16,group,2022-02-25 06:07:12
17,fish,seem,nature,Lake Jennifer,New Hampshire,07453,Along you activity shoulder series attention.,remain,001-457-899-0585,kyle51@example.com,term,47,make,17,explain,2020-11-02 12:17:51
18,old,play,hot,Tammyshire,Illinois,07336,Visit seek hold crime.,middle,001-861-521-7396x683,josephmeyer@example.org,affect,76,black,18,environment,2024-11-09 16:30:38
19,property,health,great,North Brandi,Hawaii,26156,Former impact degree hold style yard language.,box,380-429-5719,julie94@example.org,run,53,page,19,necessary,2024-11-10 20:48:11
20,you,always,say,Hunterside,Alaska,48392,Stop political history be husband specific.,strong,001-919-452-2200x0635,watsonthomas@example.net,both,98,could,20,travel,2023-03-31 05:13:29
