en_id,country_id,state_id,en_name,is_country,police,ambulance,fire,non_emergency,cyber_police,medicare_support,gas_leak,electricity_outage,water_department,disaster_recovery,flood_help,earthquake_info,hurricane_info,emergency_mgmt,environmental_hazards,transportation_assistance,roadside_assistance,highway_patrol,suicide,help_women,child_abuse,domestic_abuse,mental_health,elderly_abuse,poison_control,animal_control,wildlife_rescue,homeless_services,food_assistance
1,1,1,citizen,Estonia,speech,difference,brother,another,hair,boy,foot,New Melissa,team,American,summer,college,detail,everybody,also,some,much,open,part,at,body,close,expect,year,building,law,economy,officer,list
2,2,2,final,Morocco,she,evening,share,worry,stock,could,economy,Meyerberg,plant,own,late,who,whatever,under,employee,campaign,industry,hair,close,central,training,southern,agree,during,no,us,goal,design,pressure
3,3,3,tree,United States Virgin Islands,tax,carry,data,fall,real,pass,small,East Lisa,American,move,visit,far,southern,long,security,market,hand,head,break,you,claim,next,throughout,into,expect,buy,sort,discover,current
4,4,4,alone,Korea,treatment,various,example,difference,century,article,realize,Joshuafort,evening,then,day,meeting,none,be,within,meeting,tonight,music,surface,especially,measure,sort,street,design,group,sing,art,produce,figure
5,5,5,civil,Nigeria,arrive,debate,movement,gun,any,present,huge,Adrienneport,interview,manage,create,surface,off,difficult,share,employee,player,baby,born,performance,mention,project,glass,owner,window,before,who,character,science
6,6,6,more,Guadeloupe,north,available,stuff,prepare,there,wall,drive,Rachelfort,onto,husband,notice,under,challenge,difference,place,ready,change,already,street,response,various,region,heavy,protect,face,lose,before,charge,study
7,7,7,seat,Faroe Islands,including,prove,I,natural,economy,raise,tend,Josephside,population,fight,rich,wind,far,Mr,level,simple,green,responsibility,one,mother,sense,people,cell,career,phone,represent,letter,wait,before
8,8,8,leader,Sweden,heavy,car,movie,serve,common,trip,stage,Lake Alicia,least,board,believe,think,organization,beautiful,fall,decision,majority,reason,per,similar,city,appear,store,event,break,million,fish,their,station
9,9,9,data,Australia,nation,television,bill,analysis,home,interview,according,West Benjaminbury,threat,since,fast,lot,total,sound,bit,card,create,consider,shoulder,later,southern,school,expect,heavy,summer,friend,center,must,only
10,10,10,treat,Cambodia,about,resource,improve,fall,current,this,already,Tammymouth,grow,civil,green,never,through,argue,difficult,owner,result,mouth,against,how,myself,ability,necessary,think,above,message,walk,community,peace
11,11,11,someone,Suriname,to,market,development,news,environment,citizen,bad,South Gail,mission,reach,sing,data,tell,point,group,administration,fact,seek,with,compare,wide,heavy,north,water,wife,manage,song,grow,two
12,12,12,dark,Korea,resource,relationship,hot,team,organization,actually,sea,Georgefort,soldier,mean,begin,future,entire,family,thus,between,later,finish,face,start,society,pattern,court,man,view,list,minute,business,note
13,13,13,spend,Netherlands,military,future,far,six,should,task,grow,New Tracy,study,discover,whatever,site,call,gas,about,relationship,ground,something,color,nor,name,prepare,girl,cost,television,matter,use,huge,any
14,14,14,after,Svalbard & Jan Mayen Islands,strategy,world,bill,a,really,whether,somebody,Brendabury,why,save,late,late,ever,notice,so,nation,senior,girl,room,as,when,next,last,cover,price,especially,just,can,involve
15,15,15,charge,Ethiopia,energy,Congress,will,exactly,also,night,answer,South Annaberg,skin,team,reflect,write,network,woman,building,professor,blue,product,heart,manager,whole,old,more,four,officer,surface,simply,open,money
16,16,16,act,Iceland,name,customer,yeah,anything,loss,almost,president,Grayfort,main,day,model,assume,whatever,everybody,off,hair,seven,tonight,protect,store,information,yeah,international,him,hospital,stay,religious,run,wish
17,17,17,lawyer,France,rich,have,traditional,help,while,walk,every,Port Marissafurt,statement,data,push,can,drop,rock,doctor,win,up,reduce,own,level,process,throw,so,field,more,area,threat,increase,husband
18,18,18,room,Saint Lucia,hair,short,decade,sound,up,finish,environment,South Douglasborough,college,PM,culture,hit,almost,people,adult,good,can,summer,citizen,morning,a,skin,try,newspaper,approach,window,myself,build,remain
